medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
2013000003,2013000003,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:10:00,1,600,2.77,-73.989616,40.729988,-74.013779,40.705036
2013000004,2013000004,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:08:00,2,480,1.68,-73.981575,40.767632,-73.977737,40.757927
2013000005,2013000005,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:16:00,4,960,4.05,-74.000526,40.737343,-73.977226,40.783607
2013000006,2013000006,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:17:00,6,1020,9.77,-73.866135,40.771091,-73.961334,40.764912
2013000007,2013000007,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:11:00,6,660,1.78,-74.006927,40.740765,-73.982994,40.739616
2013000008,2013000008,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:05:00,3,300,.61,-73.955925,40.781887,-73.963181,40.777832
2013000009,2013000009,CMT,1,N,2013-01-01 00:00:00,2013-01-01 00:02:44,1,163,.50,-73.999878,40.743343,-74.003708,40.74828
2013000010,2013000010,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:19:00,3,1140,2.81,-73.989845,40.758041,-73.972008,40.757069
2013000011,2013000011,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:15:00,1,900,7.67,-73.870834,40.773769,-73.792358,40.771759
2013000012,2013000012,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:18:00,1,1080,8.27,-74.006218,40.723797,-73.958374,40.759762
2013000013,2013000013,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:12:00,1,720,3.85,-73.976761,40.75919,-73.940315,40.799
2013000014,2013000014,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:04:00,6,240,.85,-74.007973,40.747204,-74.007301,40.738178
2013000015,2013000015,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:03:00,2,180,1.52,-73.954117,40.778343,-73.941818,40.795479
2013000016,2013000016,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:09:00,2,540,2.48,-74.001732,40.719387,-73.995857,40.748917
2013000017,2013000017,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:07:00,4,420,1.49,-73.985603,40.744263,-73.969627,40.757374
2013000018,2013000018,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:07:00,3,420,1.22,-73.996132,40.739567,-74.004288,40.750999
2013000019,2013000019,CMT,1,N,2013-01-01 00:00:00,2013-01-01 00:15:29,1,928,5.20,-73.99295,40.733986,-73.968025,40.680325
2013000020,2013000020,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:05:00,1,300,.06,-73.984871,40.753723,-73.983849,40.754467
2013000021,2013000021,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:08:00,5,480,1.51,-73.988976,40.726913,-74.003761,40.739388
2013000022,2013000022,VTS,5,,2013-01-01 00:00:00,2013-01-01 00:41:00,2,2460,31.39,-73.970512,40.794228,-74.29879,40.987392
2013000023,2013000023,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:13:00,1,780,2.53,-73.987488,40.760181,-73.971207,40.75803
2013000024,2013000024,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:05:00,1,300,.46,-73.998581,40.755333,-73.994576,40.760796
2013000025,2013000025,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:10:00,1,600,1.92,-74.006355,40.739651,-73.981247,40.738007
2013000026,2013000026,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:08:00,5,480,2.73,-73.973907,40.747868,-73.948898,40.776649
2013000027,2013000027,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:10:00,1,600,1.85,-74.002998,40.725121,-74.006783,40.741566
2013000028,2013000028,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:16:00,2,960,2.92,-73.986702,40.751236,-74.003181,40.72036
2013000029,2013000029,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:05:00,1,300,.13,-73.969841,40.797359,-73.961899,40.812466
2013000030,2013000030,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:17:00,2,1020,.83,-73.992195,40.758945,-73.995026,40.750011
2013000031,2013000031,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:12:00,2,720,6.63,-73.929344,40.807728,-73.979935,40.740757
2013000032,2013000032,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:05:00,1,300,.93,-73.970428,40.796532,-73.970428,40.796532
2013000033,2013000033,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:15:00,1,900,2.56,-73.99781,40.721516,-73.980232,40.751553
2013000034,2013000034,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:04:00,5,240,1.59,-73.934555,40.750957,-73.916328,40.762241
2013000035,2013000035,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:03:00,6,180,.64,-74.001404,40.72261,-73.998177,40.729485
2013000036,2013000036,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:23:00,6,1380,2.15,-73.983597,40.75164,-73.988754,40.769218
2013000037,2013000037,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:13:00,1,780,3.88,-73.989349,40.773106,-73.989349,40.773106
2013000038,2013000038,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:21:00,1,1260,3.79,-74.008217,40.716721,-73.972343,40.753498
2013000039,2013000039,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:13:00,5,780,4.87,-74.004646,40.721268,-73.956963,40.766376
2013000040,2013000040,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:10:00,3,600,4.97,-73.98613,40.722607,-73.953056,40.771873
2013000041,2013000041,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:36:00,1,2160,2.88,-73.991325,40.760178,-73.975403,40.755486
2013000042,2013000042,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:11:00,5,660,5.36,-73.985435,40.720558,-73.958893,40.772041
2013000043,2013000043,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:03:00,1,180,.90,-73.946136,40.781349,-73.944977,40.790836
2013000044,2013000044,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:04:00,1,240,1.21,-73.973,40.79314,-73.981453,40.778465
2013000045,2013000045,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:08:00,5,480,.85,-73.977318,40.758751,-73.971481,40.752132
2013000046,2013000046,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:19:00,5,1140,8.48,-73.970207,40.762054,-73.938873,40.842186
2013000047,2013000047,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:03:00,1,180,.39,-73.990608,40.734997,-73.989487,40.730324
2013000048,2013000048,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:04:00,1,240,1.71,-73.955383,40.779728,-73.967758,40.760326
2013000049,2013000049,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:19:00,1,1140,3.39,-73.995056,40.760185,-73.96859,40.754955
2013000050,2013000050,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:03:00,4,180,1.56,-74.00975,40.706432,-73.971985,40.794716
2013000051,2013000051,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:12:00,1,720,4.00,-73.982605,40.756966,-73.947342,40.796516
2013000052,2013000052,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:05:00,1,300,.48,-73.991821,40.695587,-73.990479,40.700699
2013000053,2013000053,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:02:00,1,120,.44,-73.956528,40.716976,-73.96244,40.715008
2013000054,2013000054,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:14:00,1,840,11.16,-73.951073,40.778755,-73.816467,40.73904
2013000055,2013000055,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:11:00,1,660,9.35,-73.87117,40.773914,-73.805054,40.68121
2013000056,2013000056,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:11:00,5,660,2.30,-73.978142,40.75153,-74.003105,40.732994
2013000057,2013000057,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:09:00,1,540,2.14,-73.975723,40.781693,-73.969147,40.760975
2013000058,2013000058,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:39:00,5,2340,3.94,-73.984016,40.744183,-74.004189,40.742508
2013000059,2013000059,VTS,1,,2013-01-01 00:00:00,2013-01-01 00:05:00,1,300,.83,-73.989189,40.741268,-73.980125,40.735119
2013000060,2013000060,CMT,1,N,2013-01-01 00:00:01,2013-01-01 00:08:42,2,520,2.10,-73.956512,40.717007,-73.987869,40.718632
2013000061,2013000061,CMT,1,N,2013-01-01 00:00:02,2013-01-01 00:03:18,2,195,.70,-73.9785,40.741291,-73.976997,40.732452
2013000062,2013000062,CMT,1,N,2013-01-01 00:00:03,2013-01-01 00:29:54,1,1790,2.80,-74.00267,40.734318,-73.983414,40.757236
2013000063,2013000063,CMT,1,N,2013-01-01 00:00:08,2013-01-01 00:04:58,1,290,1.10,-73.989029,40.733982,-73.978348,40.724926
2013000064,2013000064,CMT,1,N,2013-01-01 00:00:09,2013-01-01 00:14:36,2,867,3.90,-73.955994,40.719444,-73.906532,40.70047
2013000065,2013000065,CMT,1,N,2013-01-01 00:00:09,2013-01-01 00:00:36,1,26,.10,-73.99221,40.725124,-73.991646,40.726658
2013000066,2013000066,CMT,1,N,2013-01-01 00:00:10,2013-01-01 00:03:43,2,212,.80,-73.979179,40.740398,-73.988052,40.732304
2013000067,2013000067,CMT,1,N,2013-01-01 00:00:11,2013-01-01 00:04:56,1,285,.70,-73.996643,40.732185,-74.001266,40.725452
2013000068,2013000068,CMT,1,N,2013-01-01 00:00:13,2013-01-01 00:15:00,2,886,2.80,-73.988739,40.718876,-73.977196,40.751961
2013000069,2013000069,CMT,1,N,2013-01-01 00:00:14,2013-01-01 00:07:10,1,416,.70,-73.993736,40.752232,-73.996468,40.742966
2013000070,2013000070,CMT,1,N,2013-01-01 00:00:14,2013-01-01 00:01:37,1,83,.20,-73.975441,40.749657,-73.977333,40.751991
2013000071,2013000071,CMT,1,N,2013-01-01 00:00:16,2013-01-01 00:04:11,2,234,.80,-73.957649,40.717785,-73.966522,40.714657
2013000072,2013000072,CMT,1,N,2013-01-01 00:00:16,2013-01-01 00:14:24,3,847,3.00,-73.982323,40.768826,-73.949532,40.779476
2013000073,2013000073,CMT,1,N,2013-01-01 00:00:18,2013-01-01 00:10:35,4,617,1.10,-73.996498,40.737839,-73.986626,40.751373
2013000074,2013000074,CMT,1,N,2013-01-01 00:00:19,2013-01-01 00:12:50,1,750,3.00,-73.967804,40.756153,-74.001472,40.733807
